,color,name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
1045,#005293,summer barley,-0.56871647,-0.63224655,1.0133498,-0.02220427,-0.43717086,-0.28687716,-0.14348671,-0.13141632,0.15734747,-0.71849775,-0.5199149,-0.24982889,-0.18520825,-0.6120976,-0.5205624,0.12170706,-0.70958066,-0.05497748,-0.08441165,-0.22058082,-0.6466288,0.3539698,0.5584675,-1.1076766,0.28028157,0.9401525,0.6672929,-0.5604604,-1.1319396,0.25306717,0.6332368,0.3147404,1.35266,1.2514714,-0.02574592,-0.47663236,0.42912254,0.20046803,0.0527049,0.22810929,0.1351739,0.048509695,0.24551477,0.61251307,-0.56916505,0.5272371,1.1079427,-1.9149488,0.9774342,0.92601305,-0.75829846,-0.6171375,-0.3070356,-1.2107449,0.1141024,0.42226303,0.3779616,-0.67518085,0.6388041,-0.023303444,-0.6707558,1.5817195,-0.37385157,-0.08437759,-0.42279056,0.8260517,-0.24394295,1.3574752,-0.0043724156,0.14144886,0.16641958,-0.70747733,1.3544788,-0.31979555,0.8493279,-1.1455238,-0.8984307,0.019027043,0.57004255,0.088645674,-0.705394,0.84264857,-0.3184936,1.0713634,-0.64144796,-0.15504958,0.5022014,0.3043095,0.013727972,0.50895214,0.036472097,-0.33872843,-0.7173498,-0.2747895,0.19083428,0.649082,0.04719541,-0.42067602,-0.2834345,0.14230026,-0.4181001,-0.34223568,-0.34177285,0.054323826,-0.30297822,0.42969012,0.009478189,-0.6117474,0.042332236,0.053455748,0.958765,0.5216275,-0.1389474,0.42478356,0.14198393,0.5595627,-0.25625375,0.37904564,-0.002601887,-0.3760525,-0.6027088,0.38341358,-0.32942212,0.009042699,0.08041597,-0.5513849,-0.44700572,-0.7280793
537,#e37222,corn,0.7935796,-1.39411,0.17607076,-0.9687126,-0.9167128,0.18290259,-0.21186727,-0.1428864,-0.43343568,-0.47867677,0.17064652,-0.58897996,-0.18294977,0.32648543,0.3282635,0.20100838,-0.4066574,0.23101626,0.40335286,0.033930603,-0.4030829,-0.96393496,1.090805,0.4344543,0.50367934,-0.074806884,-0.50035745,-0.39308327,-0.810793,0.43872342,0.7893077,0.059849806,-0.90734714,-0.21052398,-0.57079965,0.29935533,1.2405713,0.3433618,0.18034749,0.44394764,-0.20072833,0.54092145,0.84930784,0.76560587,0.24098475,0.038952503,0.23459566,-0.59012735,0.6156291,0.16252103,0.97955453,-0.5457427,-0.85789925,-0.9504535,0.5935628,-0.24356425,-0.2945487,-0.6411442,-0.6852542,-0.3401015,-0.5201665,0.24935699,-0.44102156,-0.2513863,0.42134982,-0.31740522,0.4414257,0.10760169,0.38239712,0.114735916,0.5240786,0.39535898,-1.1020463,0.17441227,0.23053041,-0.7699555,-0.038460318,-0.81341904,-0.85014474,0.24351646,-0.94077116,0.40155044,0.61050135,1.0095283,0.10117465,-0.52778214,-0.4477731,0.1662869,1.663008,0.63964987,-0.04075481,-0.5217805,0.7285047,-0.6754132,-0.69469094,-0.63121,-0.34262648,0.6136698,-0.07556719,0.54348534,0.96782196,-0.22354257,0.8088291,0.30310184,0.10134684,0.07095047,0.2892453,-0.32312918,-0.3318189,-0.06448979,0.694186,0.38015476,-0.39938226,0.7013364,0.9894196,-0.24816734,-0.724588,-0.7560067,-0.56566346,-0.19977506,-0.6556787,0.08794566,-0.62965614,0.01671367,-0.14296305,0.16655271,1.0600916,-0.49146292
1019,#005293,summer barley,0.55437654,-1.61052,0.81113696,-0.6898801,-0.5709841,-0.30861133,-0.12543899,-0.18291362,-0.90977514,-0.8587408,-0.43585372,0.06426956,0.066321336,-0.66825515,-0.34751245,0.23463894,-0.5363845,0.13150458,0.20887144,-0.17903715,-0.33482438,-0.0695681,0.4188724,0.029748559,0.3939648,0.5414102,0.09559628,-0.861974,-0.5787073,0.72648525,0.5152593,-0.16998705,-0.41488236,0.5482212,-0.39359486,0.010258903,0.32624853,0.3904081,-0.5675733,0.43195295,0.21725754,0.66485804,0.32316127,0.63928336,-0.32411075,0.2553001,0.1465651,-1.7182202,0.11533548,0.8016771,1.1965034,-0.7326104,-0.92425364,-0.75717384,-0.002936873,-0.4799416,0.41284537,-0.7171949,0.24823722,0.78215694,-0.20099472,0.8959534,-0.5312156,-0.6143631,-0.16914447,-0.38614926,0.10545236,0.059349634,0.15876521,0.21041931,0.29815468,0.16103925,0.043455783,0.010399897,1.0716007,-0.85611373,0.34531623,0.19976607,0.0030993249,0.18341774,-1.2463752,0.39174387,0.38676217,0.89192706,-0.23811945,0.13731778,0.38719302,0.22778443,1.7147596,0.5088008,-0.102198504,0.4187509,-0.06485925,0.07760721,-0.984699,-0.7966907,-0.21785347,-0.17447622,-0.34173015,1.3095522,-0.20845622,-0.20673798,0.22671323,0.2878063,-0.15416928,1.325835,0.50037795,-0.38152575,0.10288641,0.093658976,0.70194507,0.37202513,-0.09972356,0.5952576,0.9908443,0.14478688,-0.954433,0.69147813,-0.33479956,-0.26707426,-1.8536445,-0.31742185,-0.5481452,0.025022596,0.22241701,-0.25698495,0.2581847,-0.9212794
261,#000000,winter wheat,0.4151637,-0.18185788,0.61560345,-0.22587806,0.07204494,0.052900977,-0.58498645,-0.12913671,0.646844,-0.7567273,0.5660543,-0.17182755,-0.7822152,-0.6705439,-0.9166606,-0.06685305,0.70975906,-0.3557489,0.020578442,0.25178266,-0.21636549,0.28531024,0.32008925,0.10000492,0.09622668,-0.5430269,-0.035341997,-1.2510618,-0.44241565,0.89916867,-0.56375724,1.0359135,2.1491177,0.17462464,0.042541508,0.48643026,0.013821834,0.19486435,-0.049432736,-0.17680748,-0.021880122,-0.6747319,0.39680743,0.21596968,-0.6517309,0.38867414,0.18168606,-0.47969082,0.1536444,0.22060686,-0.026786301,-0.7035109,-0.28617713,-0.78550404,0.9549094,0.2682914,0.111632906,0.018062733,0.44921824,-0.34120375,-0.967141,0.04331516,-0.0038378516,-1.1110064,0.053433217,0.2435184,0.46193635,0.52422976,0.5339568,0.033947382,-0.11568495,-0.20859091,1.1879482,0.78359854,1.3755445,-0.80961376,0.8445482,0.76842207,0.12596615,-0.7673977,-0.9535634,-0.32687065,-0.3406415,0.6014408,-0.5573398,-0.021616181,0.4772705,0.2083488,0.7750133,0.03424528,-0.24978125,-0.3968046,-1.2233957,0.05645768,0.44520286,-1.15135,0.30691612,-0.14899811,0.42669785,1.5534959,0.013741919,-0.14006999,-0.8735444,-0.50144666,-0.5449438,0.07634882,0.57422787,-1.2046303,-0.5642847,-0.11561172,0.023859737,0.022646314,-0.43625343,0.22897033,-0.08559366,0.26045048,-0.54160416,0.47233298,0.13297054,0.38150924,1.0778176,0.07384538,0.10257943,-0.017156567,-0.88364476,0.51914006,-0.1388076,-0.17521164
565,#e37222,corn,1.404965,-1.2684538,0.14210987,-0.9308786,-0.27168813,0.35252115,0.04437471,-0.45946681,0.376612,-1.0450664,0.0976886,-0.7809331,0.23820144,-0.36141765,0.2456271,0.10249563,-0.79239297,0.15321161,0.123615064,0.2593764,-0.3725679,-1.0498432,0.26952493,0.28600144,0.62587786,-0.14969702,-0.45200056,0.1294698,-0.4628119,-0.017031172,1.2093334,0.6099689,-0.4497161,-0.25253332,-0.12576461,0.13893215,0.77302694,0.19312079,0.53422093,-0.3222105,0.0003131377,0.50267655,0.28534216,0.6375922,0.868784,-0.032661576,-0.0061803306,0.095819734,-0.19561283,0.51653516,0.48918396,-0.040911358,0.026708582,-0.8572238,0.6288412,0.14164095,-0.7867493,0.073748074,-0.4270893,-0.15366419,-0.33518058,-0.125662,-0.38701335,0.024469014,0.34534088,-0.3223029,1.1138643,-1.2951539,0.34213784,0.11536238,0.20757958,0.62039644,-1.496937,0.371737,0.05136488,-0.15739894,-0.1635278,-0.57639307,-1.882441,-0.6622867,-1.1504468,0.6366892,1.4369435,0.23806585,0.6562871,-0.8945055,-0.5278735,0.056204643,1.3705046,0.3748988,-0.16296156,0.109803565,0.58901715,-0.52416915,-1.283881,-0.2814639,-0.43964872,0.48371223,0.10572943,0.094904944,0.45231807,-0.30120203,0.5501697,0.16790843,-0.16162801,-0.23821937,0.22859862,0.22293654,-0.18029764,-0.044923753,0.55737907,0.06784362,-0.55084944,-0.14520271,1.3832942,-1.011974,-0.91208017,0.021685805,0.13107711,-0.16197264,0.78220654,0.5084108,-1.0600603,0.016495574,-0.25565597,0.35257328,1.4964736,0.0795148
1098,#005293,summer barley,-0.6638104,-0.34464455,0.82830495,-0.13441417,-0.5675709,-0.76584697,-0.017436268,-0.14350201,0.36791927,-0.37637275,-0.97117454,-0.22549126,0.050211508,-0.70162016,-0.37335572,0.015637564,-0.4555486,0.44347405,0.29954228,-0.26463652,-0.9096757,-0.547896,0.5439883,-0.72359943,0.073252514,0.9811612,0.8701616,0.01563592,-0.90950006,-0.35648313,0.97866046,-0.39020443,0.70118743,1.4849517,-0.07196793,-0.49419588,0.5966793,0.08933599,0.26382932,-0.30234328,0.22906949,0.25278166,0.29122424,0.6448718,0.05083266,0.35865712,0.24589923,-1.9958173,0.8448702,0.688194,-0.46175304,-0.262759,0.16473901,-0.74357957,-0.9860744,0.34049988,-0.047997747,-0.15102829,0.2749515,0.21727596,-0.7758993,1.1767538,-0.5731866,0.3168332,-0.45476916,0.57954895,-0.935202,1.2144299,0.023144718,0.20657592,0.34553623,-0.31620923,0.50480443,-0.4057643,-0.3068566,-0.8017316,-1.1814691,-0.5206057,0.6976908,0.4634696,-0.47057757,1.1248969,-0.12963653,0.6567932,-0.142291,0.10502665,-0.09950115,0.09160418,0.13913445,0.89295125,0.031818617,-0.19838521,0.07356183,-0.28428128,1.0282719,1.072103,0.0071022543,-0.35400093,-0.2785881,0.47165826,-0.16618069,-0.22941595,0.3817115,0.21784228,-0.14802212,0.3165591,0.07694579,0.27713773,0.2792223,0.019781608,1.0914547,0.57221615,0.004216743,0.4754402,0.18894379,-0.22550935,-0.3574824,-0.17072867,0.40357208,-0.8731074,-1.1662121,0.47096765,-0.36767027,0.017098011,0.32908174,-0.82520616,-1.142593,-0.6464191
382,#000000,winter wheat,0.31363186,0.23829234,0.46889365,0.46387193,0.5895255,1.1268948,-0.15828018,-0.7549129,-0.79837227,-0.7387808,-0.49408045,-0.16177484,0.58600694,-0.67784387,-0.38570583,0.16184336,-0.2847104,1.1764212,-0.5409005,-0.59246516,-0.18732199,0.05640992,0.3797197,-0.8718818,0.49125975,-0.5567988,0.69021195,-0.81549734,-0.7814061,-0.7846339,0.25486428,0.786744,0.86420786,1.8586552,0.020339025,0.07397751,0.5120546,0.024074055,1.221316,0.43631983,0.42000037,-0.20600913,0.008973095,0.355772,-0.73109174,-0.08644092,-0.12680916,-1.4286219,0.15723656,0.5894794,0.22055571,-0.5215089,0.046507657,-1.3617629,-0.08334879,-0.30208954,-0.12331709,-0.7121677,0.35931504,1.2972714,-0.27376282,0.6314754,-0.082081914,0.61402285,-0.39924514,0.119676806,1.1495253,1.1844463,-0.08382332,0.09986817,-0.13144882,-0.7981318,0.42657495,-0.13692582,1.4810911,-0.7801402,-0.39570475,-0.6339702,-0.38576773,-0.7127372,-0.7874607,0.81197643,-0.21104749,0.014208306,-0.24740775,-0.1321986,0.23577493,0.077246465,0.3315377,0.9089091,0.19186519,-0.83963704,-0.11962346,-0.1520359,-0.74256915,0.61972904,-0.14496268,-0.3048539,-0.33734488,0.17883737,-0.86119074,-0.67837715,0.054389995,-0.28110263,-0.1345462,0.17805213,0.8201109,-0.4157275,-0.0042542703,-0.2295308,0.045930173,0.45468488,-0.24667197,-0.37429377,-0.53582853,0.6892491,-0.5012598,1.0537227,0.49961236,0.09118822,-0.4267616,0.95379996,-0.22732468,0.009071027,-0.5104333,-0.345978,0.40281573,-0.1505161
1192,#005293,summer barley,-0.99462533,0.11039883,0.88431615,-0.2426232,-0.55273914,-0.4199834,0.46872967,0.40269312,-0.500474,-0.4788548,-0.28473806,-0.46670717,0.10723857,-0.8503445,-0.7726083,0.11849653,-0.73027515,0.2429848,0.02215755,-0.26580754,-0.2987408,0.36672965,0.9407161,-0.5563166,0.21482132,0.18795659,0.9432093,-0.9301934,-0.6499323,-0.1931019,0.61484784,-0.35932478,0.62894,1.4734732,-0.19587362,-0.21185283,0.47581324,0.1042723,-0.10792025,0.1489899,0.046247344,-0.2614486,0.12327415,0.5843451,-1.0630765,0.38982162,-0.017738055,-1.8159097,0.48568594,0.03667557,-0.3345915,-0.7115507,-0.221458,-0.750673,-0.11146245,-0.42474043,0.65521073,-0.45725015,0.5506205,0.40148407,0.03113618,1.1118587,-0.11683118,0.3758626,-0.5636533,0.10442525,-0.5372085,1.2447637,0.119585186,-0.53823763,0.3443478,-0.09125042,0.51780593,-0.64932346,0.86944884,-0.72784185,-0.5681757,-0.1562133,1.0913116,0.59646004,-0.092192605,0.80879813,-0.4909385,1.1296219,-0.38427776,-0.2598974,0.91527253,0.01986553,-0.02427026,0.79666126,0.12979881,-0.3511079,-0.038473852,0.6686608,0.18294133,0.9151219,0.12537676,-0.11933498,-0.24119465,0.15426764,-0.042794235,-0.2267931,0.346778,0.24258567,-0.15045945,0.4104157,0.54584885,-0.18504249,0.32164812,0.049650487,0.9268824,0.18732746,-0.1333148,0.05100002,-0.72094536,-0.045171205,-1.0272365,0.15105762,0.5883345,-0.09821353,-1.4718816,0.1050708,-0.42270222,0.0010683623,1.1325527,-0.42724237,-1.1210673,-1.2529907
552,#e37222,corn,0.88708216,-1.0125605,-0.5179081,-1.0503381,-0.6564826,-0.00277618,0.11839556,0.4675689,0.042539068,-0.23642766,-0.11332183,-0.7313041,0.042167027,-0.12169126,0.46820903,-0.07670412,-0.7163889,0.34486184,0.6321413,0.36070427,-0.41389325,-1.3337755,0.33557907,0.5744688,0.2877483,-0.676891,-1.008346,0.14183663,-0.22397368,-0.39281258,0.96825844,0.26543674,-0.813129,-0.08537191,-0.3148596,0.22450106,1.2476648,0.1826199,-0.025515301,0.13520296,-0.38813922,0.32251406,0.25740376,0.4480932,0.7668809,0.072937116,0.13819443,0.5800169,0.3089025,0.24559076,0.7387183,-0.026933933,0.05285859,-0.25897264,0.78499985,-0.020394841,-0.30175382,0.42287996,-0.7226235,-0.37880537,-0.23706739,-0.35037503,0.036942236,-0.058629602,0.7571367,-0.25649023,0.5002967,-0.31860286,0.30634263,-0.11543045,0.048405085,0.104052745,-1.6334981,-0.016333362,-0.53030676,-0.71885777,-0.46276894,-0.729251,-0.9320403,0.40586257,-0.63509095,0.6089169,1.2297568,0.4467674,0.79186034,-0.73203313,-0.81786126,0.021626597,0.8521983,0.3234901,-0.12854747,-0.17631532,0.8442276,-0.54194546,-0.84223807,-0.36519864,-0.33266628,0.7043399,-0.13885413,0.10162018,0.9368861,0.055241056,1.3817723,0.206271,0.015099493,-0.8206779,0.39014068,-0.058976077,-0.37930384,-0.0683548,0.30287144,-0.12426199,-0.45025992,-0.24864733,1.2389278,-1.363525,-0.74760824,-0.43451515,0.44850278,0.1555933,0.66441697,-0.18166798,-0.7885579,0.019517839,0.00034273736,0.6828998,0.8758172,0.12643798
785,#98c6ea,grassland+machining,0.36771375,1.0325204,0.28553554,0.10582201,0.13297679,-0.40795785,-0.03968954,-1.2830093,-0.16194943,0.006254681,-0.69981766,-0.8420182,0.9378604,-0.038845085,-0.09219399,-0.042186197,-0.90622,-0.35843545,0.19987364,-0.1045775,-0.37270382,0.77553344,-0.662273,-0.20111442,-0.38893458,1.4002396,-0.2389309,0.4534474,0.06398504,-0.20344985,0.5332982,-0.68064004,0.03658068,0.55324966,-0.3843649,-0.07946554,-0.13613492,-0.124046475,0.60991555,0.1643604,0.44610602,0.6594305,-0.031842362,-0.28138426,0.622487,-0.44321033,1.3631278,-0.6654099,-0.4194534,0.32163405,0.5605824,0.26475197,0.44982323,1.2194619,-0.7011349,-0.22076713,0.3880932,0.4165538,0.2729415,0.5979369,0.27544478,0.36849505,-0.17256193,-1.0995653,-0.47328904,0.60484177,0.0024953962,-0.5986582,-0.18401344,0.5625409,-0.1664006,-0.23783869,0.8710535,0.17865604,0.6878168,0.7892114,0.07921653,-0.28561413,-0.2955462,-0.8473068,-0.9026043,-0.12854597,0.2491022,0.0035022676,0.61251503,0.89518994,-0.6274498,-0.10823485,-0.38444087,0.2035446,0.24536808,0.7612874,-0.22605847,-0.19703716,-0.076326124,-0.45656067,-0.57113713,-0.07577631,0.41071978,-0.021799808,-1.227901,0.32669964,-0.94963616,-0.02230666,-0.543024,1.1162341,-0.34522828,0.42298785,0.5175767,-0.1183298,-0.49498,0.5686876,0.06923235,0.1353153,0.13752852,0.60066897,0.7784715,1.4244372,-0.37509617,-0.8965203,-1.5176227,-0.6286382,-0.51763886,0.01747012,0.66885084,-0.39559478,-1.1590055,0.2525603
